Site Number,Street Description,Lat,Long,Lat Adjusted,Long Adjusted,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
530783,17 Street North of  73 Avenue,53.5104441,-113.369309,53.5104441,-113.369309,12400,12200,12500,15400,11200,12000,12000,11400,11800,10100,10900,11400
530787,17 Street North of  76 Avenue,53.5128774,-113.369309,53.5128774,-113.369309,-,-,-,-,13000,12400,12400,11800,9300,10400,11200,11700
530791,17 Street North of  77 Avenue,53.5143427,-113.369318,53.5143427,-113.369318,13800,11200,11400,15200,15200,13700,16100,15300,15800,13500,14500,15100
530821,17 Street North of 116 Avenue,53.5688527,-113.3638861,53.5688527,-113.3638861,-,-,-,-,8900,8500,4000,3800,4000,3400,3700,3900
530695,17 Street North of Anthony Henday Drive Westbound,53.4465081,-113.3690032,53.4425407,-113.3689837,5600,5500,6800,9500,11500,10600,10600,12700,13100,11200,12000,12500
530811,17 Street North of Baseline Road,53.5447166,-113.3692011,53.5447166,-113.3692011,-,-,12500,12900,12900,12300,12300,11700,12100,10300,11100,11600
530767,17 Street North of Maple Ridge Drive,53.5012926,-113.3691831,53.5012926,-113.3691831,-,-,11600,11900,12400,11800,11800,11200,11100,9900,10600,11100
530819,17 Street North of Petroleum Way,53.5649699,-113.3662603,53.5649699,-113.3662603,10000,10000,10200,13000,13600,10900,5200,4900,5100,4400,4800,5000
530795,17 Street North of Sherwood Park Freeway,53.520585,-113.369323,53.520585,-113.369323,8500,10600,10800,12700,12700,10600,11000,10500,10900,9300,10000,10400
530735,17 Street North of Silverberry Road,53.4664282,-113.3688953,53.4664282,-113.3688953,11300,11200,13300,13700,19500,18500,18500,22900,23600,20100,21600,22500
530755,17 Street North of Tamarack Way,53.480428,-113.368873,53.480428,-113.368873,10900,10700,19800,20900,24800,31600,31600,30000,30900,26300,28200,29400
530759,17 Street North of Whitemud Drive EB,53.4820793,-113.3688324,53.4825783,-113.3685943,-,-,-,-,16900,16100,16100,15300,15800,13500,14500,15100
530763,17 Street North of Whitemud Drive Westbound,53.485827,-113.368896,53.485827,-113.368896,8800,8700,12900,13500,13500,12100,12100,11500,11700,10200,11000,11500
530683,17 Street SW North of  28 Avenue SW,53.416112,-113.3690032,53.416112,-113.3690032,500,700,700,500,600,700,700,700,800,700,800,900
530687,17 Street SW North of Ellerslie Rd SW,53.4259464,-113.3661524,53.4259464,-113.3661524,1600,1600,1600,1700,1400,1600,1600,1500,1600,1400,1500,1600
508848,18 Avenue West of  34 Street,53.4477293,-113.395866,53.4477293,-113.395866,3100,3100,3100,3200,3200,3000,3000,2900,3000,2600,2800,3000
431613,18 Street North of 153 Avenue,53.616876,-113.369025,53.616876,-113.369025,3000,2900,3000,5800,7400,4500,5800,5500,4200,4900,5300,5600
431649,18 Street North of 167 Avenue,53.629265,-113.368951,53.629265,-113.368951,900,900,900,2300,1400,1300,1300,1200,1300,1200,1300,1400
431765,18 Street North of 195 Avenue N,53.6600904,-113.3689673,53.6600904,-113.3689673,400,700,700,700,700,700,700,700,800,700,800,900
431757,18 Street North of 195 Avenue S,53.6569088,-113.3689223,53.6569088,-113.3689223,-,-,-,1100,2200,2100,2100,2000,2100,1800,2000,2100
431833,18 Street North of 227 Avenue,53.6928253,-113.3688684,53.6928253,-113.3688684,600,700,700,900,700,700,700,700,800,700,800,900
431685,18 Street North of Fort Road North,53.6468347,-113.3689673,53.6468347,-113.3689673,800,800,800,1100,1100,1000,1000,1000,1100,1000,1100,1200
431761,18 Street North of Manning Drive,53.6577881,-113.3689133,53.6577881,-113.3689133,-,-,-,1200,1400,1300,1300,1200,1300,1200,1300,1400
509124,19 Avenue West of  49 Street,53.4500645,-113.4179983,53.4500645,-113.4179983,6300,6200,6300,6500,6500,4200,4200,4000,4200,3600,3900,4100
509132,19 Avenue West of  50 Street,53.4500484,-113.4204804,53.4500484,-113.4204804,1000,1000,1000,1100,1100,1400,1400,1300,1400,1200,1300,1400
509160,19 Avenue West of  65 Street,53.4496306,-113.4345908,53.4496306,-113.4345908,1700,1600,1700,1700,1700,1500,1500,1400,1500,1300,1400,1500
509168,19 Avenue West of  66 Street,53.4496092,-113.4366322,53.4496092,-113.4366322,1800,1800,1800,1900,1900,1500,1500,1400,1500,1300,1400,1500
509228,19 Avenue West of  99 Street,53.4473865,-113.487318,53.4473865,-113.487318,9700,9500,11300,10600,10100,11900,11900,11400,11800,10100,10900,11400
509236,19 Avenue West of 102 Street,53.446642,-113.4909962,53.446642,-113.4909962,-,-,-,-,6700,6400,6400,8000,8300,7100,7600,8000
211696,19 Avenue West of 109 Street,53.4480775,-113.5106014,53.4480775,-113.5106014,-,-,5300,5400,5400,5100,5400,5100,5300,4600,5000,5200
211672,19 Avenue West of Bearspaw Drive East,53.4476918,-113.5056911,53.4476918,-113.5056911,2900,3100,3200,2800,2900,2800,2800,2700,2800,2400,2600,2800
211708,19 Avenue West of Bearspaw Drive West,53.4487951,-113.5147383,53.4487951,-113.5147383,5100,5000,4900,5100,5100,4800,5900,5600,5800,5000,5400,5700
509212,19 Avenue West of Parsons Road,53.4479543,-113.4824886,53.4479543,-113.4824886,6100,6000,6300,6400,6100,6400,6400,6600,6800,5800,6300,6600
