Site Number,Street Description,Lat,Long,Lat Adjusted,Long Adjusted,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
526124,101 Avenue West of  73 Street,53.541202,-113.441021,53.541202,-113.441021,13700,13500,13700,13700,13700,13000,12700,12100,12500,10700,11500,12000
526132,101 Avenue West of  74 Street,53.5412591,-113.442199,53.5412591,-113.442199,-,-,-,-,16800,16000,16000,15200,15700,13400,14400,15000
526148,101 Avenue West of  76 Street,53.541211,-113.4453826,53.541211,-113.4453826,6600,6500,6700,6900,6900,6600,6600,6300,6500,5600,6000,6300
526172,101 Avenue West of  78 Street,53.541211,-113.448347,53.541211,-113.448347,8900,8800,8900,8700,8700,8300,7500,7100,7400,6300,6800,7100
526180,101 Avenue West of  79 Street,53.541222,-113.449962,53.541222,-113.449962,-,-,4800,6200,6200,5900,5900,5600,5800,5000,5400,5700
526188,101 Avenue West of  80 Street,53.541227,-113.4517678,53.541227,-113.4517678,-,-,5000,5200,5200,4900,4900,4700,4900,4200,4500,4700
526196,101 Avenue West of  81 Street,53.5412484,-113.4529279,53.5412484,-113.4529279,4600,4500,4600,4700,4700,4500,4500,4300,4500,3900,4200,4400
526228,101 Avenue West of  83 Street,53.5412217,-113.4562374,53.5412217,-113.4562374,3800,3800,3800,3900,3900,3700,3700,3500,3700,3200,3500,3700
526140,101 Avenue West of Wayne Gretzky Drive,53.5412217,-113.4442585,53.5412217,-113.4442585,-,-,-,-,9400,8900,8900,8500,8800,7500,8100,8500
542035,101 Street North of  81 Avenue,53.5175244,-113.491257,53.5175244,-113.491257,-,-,-,-,4700,4500,4500,900,1000,900,1000,1100
542039,101 Street North of  82 Avenue,53.5186312,-113.491293,53.5186312,-113.491293,-,-,-,-,4000,3800,3800,3600,3800,3300,3600,3800
542047,101 Street North of  84 Avenue,53.5204599,-113.491284,53.5204599,-113.491284,-,-,-,-,-,-,1600,2000,2100,1800,2000,2100
542059,101 Street North of  87 Avenue,53.5230637,-113.4912211,53.5230637,-113.4912211,-,-,-,-,-,-,-,900,1000,900,1000,1100
111853,101 Street North of  94 Avenue,53.5301471,-113.4937212,53.5301471,-113.4937212,-,-,-,200,200,200,200,200,300,300,400,500
111855,101 Street North of  95 Avenue,53.5316171,-113.4937212,53.5316171,-113.4937212,-,-,-,-,-,-,600,600,700,600,700,800
111857,101 Street North of  96 Avenue,53.5333918,-113.4936852,53.5333918,-113.4936852,-,-,-,400,400,400,700,700,800,700,800,900
111873,101 Street North of 102 Avenue,53.543883,-113.4936852,53.543883,-113.4936852,-,-,13700,14200,14200,13500,15100,14300,14800,12600,13500,14100
111877,101 Street North of 103 Avenue,53.5457907,-113.4936762,53.5457907,-113.4936762,-,-,16100,16500,16500,15700,16800,16000,16500,14100,15100,15800
111881,101 Street North of 104 Avenue,53.5468487,-113.4936672,53.5468487,-113.4936672,30400,29900,26000,24800,24800,23600,22900,21800,22500,19200,20600,21500
111883,101 Street North of 105 Avenue,53.5481365,-113.4937122,53.5481365,-113.4937122,-,24100,24600,24000,24000,22800,22700,21600,22300,19000,20400,21300
111885,101 Street North of 105A Avenue,53.5492906,-113.4937212,53.5492906,-113.4937212,-,-,-,-,25200,23900,23900,22700,23400,19900,21300,22200
111887,101 Street North of 106 Avenue,53.5503485,-113.4937392,53.5503485,-113.4937392,-,-,-,-,23100,21900,21900,20800,21500,18300,19600,20400
111893,101 Street North of 108 Avenue,53.5537946,-113.4937302,53.5537946,-113.4937302,26400,26000,23700,24400,22500,21400,21400,20300,21000,17900,19200,20000
111901,101 Street North of 110A Avenue,53.5583997,-113.4936852,53.5583997,-113.4936852,-,-,-,-,19400,18300,18300,17400,18000,15300,16400,17100
111903,101 Street North of 111 Avenue,53.559364,-113.493739,53.559364,-113.493739,10700,10500,10300,10600,11000,10700,10700,10200,10600,9100,9800,10200
111907,101 Street North of 113 Avenue,53.5633728,-113.4937122,53.5633728,-113.4937122,-,9800,9900,10200,10200,9700,9800,9300,9600,8200,8800,9200
111909,101 Street North of 114 Avenue,53.5650339,-113.4937032,53.5650339,-113.4937032,-,-,-,-,-,-,9700,9200,9500,8100,8700,9100
111913,101 Street North of 116 Avenue,53.5679234,-113.4937122,53.5679234,-113.4937122,-,9400,9600,9900,9900,9400,9400,8900,9200,7900,8500,8900
441597,101 Street North of 130 Avenue,53.5905997,-113.4937032,53.5905997,-113.4937032,-,1400,1400,1500,1500,1400,1400,1300,1400,1200,1300,1400
111871,101 Street North of Jasper Avenue,53.5415049,-113.4937392,53.5415049,-113.4937392,10600,10400,10600,10200,10200,10300,12900,12300,12700,10800,11600,12100
111895,101 Street north of Kingsway Avenue,53.5553333,-113.4937392,53.5553333,-113.4937392,19900,19600,19900,18000,17900,19700,19700,18700,19300,16500,17700,18500
111869,101 Street North of MacDonald Drive,53.5402009,-113.4937122,53.5402009,-113.4937122,17500,17300,17600,10400,10400,10100,13400,12700,13100,11200,12000,12500
111872,101 Street North of Rice Howard Way,53.5426272,-113.4937302,53.5426272,-113.4937302,-,-,-,-,-,-,12500,11900,12300,10500,11300,11800
111864,101 Street North of Rossdale RD,53.5377959,-113.4937661,53.5377959,-113.4937661,-,-,-,-,-,-,300,300,400,400,500,600
541959,101 Street SW North of  30 Avenue SW,53.408175,-113.491861,53.408175,-113.491861,6800,6400,5000,5200,5200,900,900,900,1000,900,1000,1100
526260,101A Avenue West Of  52 Street,53.542205,-113.4229715,53.542205,-113.4229715,-,-,200,200,200,200,200,200,300,300,400,500
100812,101A Avenue West of  95 Street,53.5442357,-113.4796918,53.5442357,-113.4796918,-,-,-,-,-,-,1000,1000,1100,1000,1100,1200
100820,101A Avenue West of  96 Street,53.54364,-113.482981,53.54364,-113.482981,800,800,900,900,900,900,900,900,1000,900,1000,1100
100832,101A Avenue West of 100 Street,53.5422264,-113.4913739,53.5422264,-113.4913739,-,-,-,-,-,-,1900,1800,1900,1700,1900,2000
100828,101A Avenue West of 99 Street,53.5423333,-113.4896293,53.5423333,-113.4896293,-,-,-,-,-,-,1300,1200,1300,1200,1300,1400
100868,102 Avenue West of  95 Street,53.545059,-113.480272,53.545059,-113.480272,3500,3500,3200,2900,2900,2700,1500,1400,1500,1300,1400,1500
100872,102 Avenue West of  96 Street,53.5444655,-113.4835858,53.5444655,-113.4835858,2900,2900,2900,3100,3100,2900,1600,1500,1600,1400,1500,1600
100876,102 Avenue West of  97 Street,53.5437173,-113.487336,53.5437173,-113.487336,-,-,-,7100,7100,6700,3800,3600,3800,3300,3600,3800
100880,102 Avenue West of  99 Street,53.543407,-113.489876,53.543407,-113.489876,5300,5200,5300,5900,6000,5000,4000,3800,4000,3400,3700,3900
100884,102 Avenue West of 100 Street,53.5432898,-113.4916617,53.5432898,-113.4916617,6900,6800,6900,8400,8400,9300,5700,5400,5600,4800,5200,5500
100888,102 Avenue West of 100A Street,53.5431776,-113.4930557,53.5431776,-113.4930557,-,-,-,-,-,-,6700,6400,6600,5700,6100,6400
100892,102 Avenue West of 101 Street,53.5431028,-113.4947014,53.5431028,-113.4947014,-,-,-,9400,9400,8900,7700,7300,7600,6500,7000,7300
100896,102 Avenue West of 102 Street,53.543054,-113.496366,53.543054,-113.496366,8800,8600,8800,9300,9300,11500,7300,6900,7200,6200,6700,7000
100900,102 Avenue West of 103 Street,53.5429959,-113.4983797,53.5429959,-113.4983797,-,-,-,-,-,-,7200,6800,7100,6100,6600,6900
100904,102 Avenue West of 104 Street,53.5430013,-113.5002862,53.5430013,-113.5002862,-,-,-,7900,8000,7600,6100,3800,4000,3400,3700,3900
100908,102 Avenue West of 105 Street,53.5430066,-113.5016262,53.5430066,-113.5016262,7100,7000,7100,7100,7100,8800,5900,5600,5800,5000,5400,5700
100912,102 Avenue West of 106 Street,53.5430013,-113.5037576,53.5430013,-113.5037576,-,-,-,6700,6700,6400,5700,5400,5600,4800,5200,5500
100916,102 Avenue West of 107 Street,53.5430066,-113.5056552,53.5430066,-113.5056552,-,-,-,5900,5900,5600,5400,5100,5300,4600,5000,5200
100920,102 Avenue West of 108 Street,53.5430066,-113.5075707,53.5430066,-113.5075707,5800,5700,7000,7200,7200,8000,7300,6900,7200,6200,6700,7000
100924,102 Avenue West of 109 Street,53.543044,-113.5090366,53.543044,-113.5090366,-,-,-,-,-,-,2600,2500,2600,2300,2500,2600
100944,102 Avenue West of 115 Street,53.543028,-113.5203501,53.543028,-113.5203501,-,-,-,2700,2300,2200,2900,2800,2900,2500,2700,2900
100948,102 Avenue West of 116 Street,53.5430226,-113.5223196,53.5430226,-113.5223196,-,-,-,4200,4200,4000,4200,4000,4200,3600,3900,4100
100956,102 Avenue West of 118 Street,53.5430226,-113.5259978,53.5430226,-113.5259978,-,-,-,-,2600,2500,2500,2400,2500,2200,2400,2500
100964,102 Avenue West of 120 Street,53.543028,-113.529712,53.543028,-113.529712,-,-,-,-,-,-,800,800,900,800,900,1000
100976,102 Avenue West of 123 Street,53.5430013,-113.535,53.5430013,-113.535,-,-,-,5500,2800,3100,4000,3800,4000,3400,3700,3900
308916,102 Avenue West of 124 Street,53.5430173,-113.5368077,53.5430173,-113.5368077,-,-,-,23200,3300,18600,19000,18100,18700,15900,17100,17800
308924,102 Avenue West of 125 Street,53.5430226,-113.5384175,53.5430226,-113.5384175,-,-,-,-,-,-,18800,17900,18500,15800,17000,17700
308948,102 Avenue West of 129 Street,53.5430707,-113.5449285,53.5430707,-113.5449285,-,-,-,-,-,-,17800,16900,17500,14900,16000,16700
308956,102 Avenue West of 130 Street,53.5430494,-113.5463315,53.5430494,-113.5463315,21700,21300,21700,22400,22400,21300,17600,16700,17300,14800,15900,16600
309028,102 Avenue West of 136 Street,53.5430494,-113.5568985,53.5430494,-113.5568985,-,-,-,-,-,-,17100,16200,16700,14200,15200,15900
309124,102 Avenue West of 155 Street,53.5433486,-113.5894809,53.5433486,-113.5894809,-,-,-,-,-,-,2200,2100,2200,1900,2100,2200
309132,102 Avenue West of 156 Street,53.5433219,-113.5912706,53.5433219,-113.5912706,-,-,-,-,-,-,1900,1800,1900,1700,1900,2000
309180,102 Avenue West of 162 Street,53.5433005,-113.6017297,53.5433005,-113.6017297,-,-,-,-,-,-,1100,1000,1100,1000,1100,1200
308932,102 Avenue West of Clifton Place,53.5430013,-113.5399103,53.5430013,-113.5399103,-,-,-,-,-,-,18500,17600,18200,15500,16600,17300
308940,102 Avenue West of Connaught Drive,53.5430333,-113.543031,53.5430333,-113.543031,-,20900,21300,21900,21900,20800,16800,16800,17400,14800,15900,16600
309020,102 Avenue West of St. George's Crescent,53.5430387,-113.5557204,53.5430387,-113.5557204,21800,21500,21900,22500,22600,21500,21500,20400,21100,18000,19300,20100
308988,102 Avenue West of Tweedsmuir Crescent East,53.5430547,-113.5508731,53.5430547,-113.5508731,21900,21500,30200,31100,31200,17800,17700,16800,17400,14800,15900,16600
111967,102 Street North 113 Avenue,53.5634583,-113.4955738,53.5634583,-113.4955738,-,-,-,-,-,-,500,500,600,600,700,800
542075,102 Street North of  19 Avenue,53.4471348,-113.4905106,53.4471713,-113.4907511,-,-,-,-,-,-,-,12700,13100,11200,12000,12500
542083,102 Street North of  81 Avenue,53.5174869,-113.4937122,53.5174869,-113.4937122,-,-,-,-,1300,1200,1200,1100,1200,1100,1200,1300
542087,102 Street North of  82 Avenue,53.5186152,-113.4938651,53.5186152,-113.4938651,-,-,-,-,2500,2400,2400,2300,2400,2100,2300,2400
111943,102 Street North of 100 Avenue,53.5393031,-113.4955648,53.5393031,-113.4955648,-,-,-,5800,6200,5900,5900,5600,5800,5000,5400,5700
111951,102 Street North of 103 Avenue,53.5454541,-113.4955828,53.5454541,-113.4955828,-,-,-,-,-,-,-,2400,2500,2200,2400,2500
111952,102 Street North of 104 Avenue,53.5465495,-113.4955378,53.5465495,-113.4955378,-,-,-,-,-,-,1800,3400,3600,3100,3400,3600
111961,102 Street North of 110 Avenue,53.5585012,-113.4955378,53.5585012,-113.4955378,-,-,-,-,5900,5600,5600,5300,5500,4700,5100,5400
111963,102 Street North of 111 Avenue,53.5594467,-113.4955108,53.5594467,-113.4955108,-,-,-,-,2300,2200,2200,2100,2200,1900,2100,2200
111965,102 Street North of 112 Avenue,53.5617971,-113.4955558,53.5617971,-113.4955558,-,-,-,-,-,-,700,700,800,700,800,900
111969,102 Street North of 114 Avenue,53.5650286,-113.4955468,53.5650286,-113.4955468,-,-,-,-,-,-,600,600,700,600,700,800
111971,102 Street North of 115 Avenue,53.5665615,-113.4955198,53.5665615,-113.4955198,-,-,-,-,-,-,800,800,900,800,900,1000
111947,102 Street North of Jasper Avenue,53.5419806,-113.4955648,53.5419806,-113.4955648,-,-,-,4800,4800,5000,4500,4300,4500,3900,4200,4400
111945,102 Street North of MacDonald Drive,53.5400353,-113.4955648,53.5400353,-113.4955648,-,-,-,-,-,-,5000,4800,5000,4300,4700,4900
441805,102 Street Northof 164 Avenue,53.6260554,-113.5004751,53.6260554,-113.5004751,-,-,-,-,-,-,-,1100,1200,1100,1200,1300
542073,102 Street South of  19 Avenue,53.4458708,-113.4905915,53.4458708,-113.4905915,-,-,-,-,-,-,-,13400,13900,11900,12800,13400
100990,102A Avenue West of  95 Street,53.5458335,-113.4812206,53.5458335,-113.4812206,3900,3800,2300,2400,2400,2300,2300,2200,2300,2000,2200,2300
100994,102A Avenue West of  96 Street,53.545251,-113.484665,53.545251,-113.484665,2500,2500,2500,2800,2800,2700,2700,2600,2700,2300,2500,2600
101006,102A Avenue West of 100 Street,53.54441,-113.491659,53.54441,-113.491659,6200,6100,3800,3900,3900,3700,3700,3500,3700,3200,3500,3700
100998,102A Avenue West of 97 Street,53.5447914,-113.4874439,53.5447914,-113.4874439,-,-,-,2600,2600,2800,2400,2300,2400,2100,2300,2400
100987,102A Avenue West of Jasper Avenue,53.5463144,-113.4785046,53.5463144,-113.4785046,-,-,-,1600,1600,1500,1300,1200,1300,1200,1300,1400
309700,103 Avenue East of 215 Street,53.5434822,-113.686221,53.5434822,-113.686221,-,-,-,200,200,200,200,200,300,300,400,500
112021,103 Avenue North of 115 Avenue,53.5664493,-113.4983077,53.5664493,-113.4983077,-,-,-,-,-,-,200,200,300,300,400,500
526600,103 Avenue West of  48 Street,53.5446953,-113.4177735,53.5446953,-113.4177735,800,800,800,800,800,800,800,800,900,800,900,1000
526640,103 Avenue West of  57 Street,53.5447487,-113.4250849,53.5447487,-113.4250849,1100,1100,1100,1200,1200,1100,1100,1000,1100,1000,1100,1200
101054,103 Avenue West of  96 Street,53.5461274,-113.4849708,53.5461274,-113.4849708,800,800,800,900,500,500,1400,1300,1400,1200,1300,1400
101072,103 Avenue West of 102 Street,53.5446525,-113.4962123,53.5446525,-113.4962123,-,-,-,5400,5400,5100,5100,4800,5000,4300,4700,4900
101076,103 Avenue West of 103 Street,53.5445991,-113.4983527,53.544604,-113.4986556,-,-,-,4000,4000,3800,3600,3400,3600,3100,3400,3600
101080,103 Avenue West of 104 Street,53.5445937,-113.5001693,53.5445937,-113.5001693,-,-,-,-,-,-,3800,3600,3800,3300,3600,3800
101084,103 Avenue West of 105 Street,53.5445937,-113.5020669,53.5445937,-113.5020669,4700,4600,4700,6900,6900,6000,4000,3800,4000,3400,3700,3900
101088,103 Avenue west of 106 Street,53.5445991,-113.5038385,53.5445991,-113.5038385,-,-,-,-,-,-,4200,4000,4200,3600,3900,4100
101092,103 Avenue west of 107 Street,53.5446044,-113.5056102,53.5446044,-113.5056102,-,-,-,-,-,-,4100,3900,4100,3500,3800,4000
101096,103 Avenue West of 108 Street,53.5446044,-113.5075078,53.5446044,-113.5075078,-,-,-,-,-,-,4700,4500,4700,4000,4300,4500
101100,103 Avenue West of 109 Street,53.5446044,-113.5091715,53.5446044,-113.5091715,-,-,-,-,-,-,2200,2100,2200,1900,2100,2200
101116,103 Avenue West of 114 Street,53.5445991,-113.5185424,53.5445991,-113.5185424,1400,1400,1400,1400,1400,1300,1300,1200,1300,1200,1300,1400
309452,103 Avenue West of 140 Street,53.5445937,-113.5645517,53.5445937,-113.5645517,-,-,1000,1000,1000,1000,1000,1000,1100,1000,1100,1200
309708,103 Avenue West of 215 Street,53.5440059,-113.6906726,53.5440059,-113.6906726,-,-,-,1100,1100,1000,1000,1000,1100,1000,1100,1200
111977,103 Street North of  98 Avenue,53.5359948,-113.4974084,53.5359948,-113.4974084,7100,7000,7100,6400,6400,6900,6900,6600,6800,5800,6300,6600
111999,103 Street North of  99 Avenue,53.5380685,-113.4973544,53.5380685,-113.4973544,-,-,-,-,-,-,6900,6600,6800,5800,6300,6600
112001,103 Street North of 100 Avenue,53.5399391,-113.4974264,53.5399391,-113.4974264,-,-,-,5500,5500,6000,4500,4800,5000,4300,4700,4900
112005,103 Street North of 102 Avenue,53.5439258,-113.4973814,53.5439258,-113.4973814,-,-,-,5400,5400,5100,2900,3600,3800,3300,3600,3800
112007,103 Street North of 103 Avenue,53.5453632,-113.4973724,53.5454969,-113.4983209,-,-,-,6300,6300,6000,6000,5700,5900,5100,5500,5800
444929,103 Street North of 161 Avenue,53.6246366,-113.5010416,53.6246366,-113.5010416,-,-,-,-,-,-,700,700,800,700,800,900
112003,103 Street North of Jasper Avenue,53.541638,-113.497408,53.541638,-113.497408,-,-,-,5400,5400,5100,4100,3900,4100,3500,3800,4000
112004,103 Street South of 102 Avenue,53.5424188,-113.4973994,53.5424188,-113.4973994,-,-,-,-,-,-,3600,3400,3600,3100,3400,3600
101170,103A Avenue West of  92 Street,53.5486387,-113.4763013,53.5486387,-113.4763013,-,-,-,-,-,-,7100,6700,7000,6000,6500,6800
101174,103A Avenue West of  93 Street,53.5480884,-113.4790802,53.5480884,-113.4790802,8700,8600,8700,7600,7600,7200,8600,8200,8500,7300,7900,8300
101178,103A Avenue West of  95 Street,53.5476235,-113.4815893,53.5476235,-113.4815893,-,-,-,10600,10600,12200,11900,11300,11700,10000,10700,11200
101182,103A Avenue West of  96 Street,53.5469289,-113.4856902,53.5469289,-113.4856902,12100,11900,12100,13900,13900,13400,11400,12200,12600,10800,11600,12100
101186,103A Avenue West of  97 Street,53.5463464,-113.4887659,53.5463464,-113.4887659,-,-,-,19500,19600,18100,16700,15900,16400,14000,15000,15600
101190,103A Avenue West of  99 Street,53.5462289,-113.4904476,53.5462289,-113.4904476,-,-,22700,23400,23400,18800,17800,16900,17500,14900,16000,16700
101194,103A Avenue West of 100 Street,53.5461701,-113.4926959,53.5461701,-113.4926959,-,-,28800,29700,29700,28200,21400,20300,21000,17900,19200,20000
250189,103A Street SW South of Ellerslie Road SW,53.4243066,-113.4959965,53.4243066,-113.4959965,-,-,-,-,-,-,-,9200,9500,8100,8700,9100
526936,104 Avenue  West of  77 Street,53.5463358,-113.4469654,53.5463358,-113.4469654,200,200,200,200,200,200,200,200,300,300,400,500
101230,104 Avenue West of  36 Street,53.5578815,-113.3980334,53.5578815,-113.3980334,400,400,400,400,400,400,400,400,500,500,600,700
101262,104 Avenue West of 101 Street,53.5461648,-113.4946025,53.5461648,-113.4946025,-,-,-,-,-,-,20100,24200,25000,21300,22800,23800
101266,104 Avenue West of 102 Street,53.5461808,-113.4964911,53.5461808,-113.4964911,30800,30300,32200,27500,27500,26100,19800,24900,25700,21900,23500,24500
101270,104 Avenue West of 103 Street,53.5461861,-113.4983797,53.5462156,-113.4986348,-,-,-,29000,29000,27600,27600,26200,27000,23000,24700,25700
101274,104 Avenue West of 104 Street,53.5461968,-113.5002413,53.5461968,-113.5002413,-,-,32400,33400,33400,6400,21100,25200,26000,22100,23700,24700
101278,104 Avenue West of 105 Street,53.5462128,-113.501932,53.5462128,-113.501932,-,-,32100,33000,33000,19400,23700,22500,23200,19800,21200,22100
101290,104 Avenue West of 108 Street,53.5462396,-113.5075347,53.5462396,-113.5075347,-,-,-,31700,31800,17300,26200,24900,25700,21900,23500,24500
101294,104 Avenue West of 109 Street,53.5462128,-113.5093244,53.5462128,-113.5093244,-,-,37500,37300,37300,29800,31800,30200,31200,26600,28500,29700
101298,104 Avenue West of 110 Street,53.5462289,-113.5112669,53.5462289,-113.5112669,-,-,37600,38800,38800,34200,32800,31200,32200,27400,29400,30600
101302,104 Avenue West of 111 Street,53.5462396,-113.5131555,53.5462396,-113.5131555,-,-,-,31000,31000,29500,30600,29100,30000,25500,27300,28400
101306,104 Avenue West of 112 Street,53.5462396,-113.5149092,53.5462396,-113.5149092,-,32100,29700,30000,30000,28500,29300,27800,28700,24400,26200,27300
101310,104 Avenue West of 114 Street,53.5462663,-113.5196936,53.5462663,-113.5196936,-,-,-,29900,29900,28400,32100,30500,31500,26800,28700,29900
101314,104 Avenue West of 116 Street,53.5462396,-113.5223376,53.5462396,-113.5223376,-,-,-,27900,27900,26500,31300,29700,30600,26100,28000,29200
101318,104 Avenue West of 117 Street,53.5462075,-113.5241542,53.5462075,-113.5241542,-,-,-,-,-,-,30200,28700,29600,25200,27000,28100
101322,104 Avenue West of 118 Street,53.5462289,-113.5260158,53.5462289,-113.5260158,-,-,-,-,-,-,28800,27400,28300,24100,25800,26900
101330,104 Avenue West of 120 Street,53.5462075,-113.5295861,53.5462075,-113.5295861,-,-,-,-,-,-,24800,23600,24400,20800,22300,23200
309844,104 Avenue West of 137 Street,53.5461915,-113.558904,53.5461915,-113.558904,-,-,500,500,500,500,500,500,600,600,700,800
309860,104 Avenue West of 139 Street,53.5461968,-113.5621236,53.5461968,-113.5621236,-,-,-,-,-,-,400,400,500,500,600,700
309892,104 Avenue West of 143 Street,53.546309,-113.5683649,53.546309,-113.5683649,-,-,-,-,-,-,-,800,900,800,900,1000
309908,104 Avenue West of 145 Street,53.546309,-113.5717823,53.546309,-113.5717823,-,-,-,-,-,-,-,1100,1200,1100,1200,1300
309924,104 Avenue West of 147 Street,53.5463251,-113.5751547,53.5463251,-113.5751547,-,-,-,-,-,-,-,1000,1100,1000,1100,1200
310012,104 Avenue West of 157 Street,53.5463838,-113.5931052,53.5463838,-113.5931052,-,-,1200,1300,1300,1200,1200,1100,1200,1100,1200,1300
310036,104 Avenue West of 160 Street,53.5464266,-113.5983842,53.5464266,-113.5983842,-,-,1100,1200,1200,1100,1100,1000,1100,1000,1100,1200
250511,104 Street North of  58 Avenue,53.495766,-113.497691,53.495766,-113.497691,33900,33400,31800,33000,33000,31400,31400,29800,30700,26100,28000,29200
250529,104 Street North of  61 Avenue,53.4993187,-113.4977052,53.4993187,-113.4977052,-,-,-,-,28100,26700,26700,25400,26200,22300,23900,24900
250535,104 Street North of  63 Avenue,53.5003833,-113.4976692,53.5003833,-113.4976692,-,-,-,-,25700,24400,24400,23200,23900,20400,21900,22800
250583,104 Street North of  71 Avenue,53.507861,-113.4977052,53.507861,-113.4977052,23400,23000,19600,20200,20200,19200,19200,18200,18800,16000,17200,17900
250607,104 Street North of  76 Avenue,53.5128453,-113.4977142,53.5128453,-113.4977142,20400,20100,20400,21000,21900,20800,23000,21900,22600,19300,20700,21600
250619,104 Street North of  78 Avenue,53.5147063,-113.4976782,53.5147063,-113.4976782,-,-,17300,17800,17800,16900,16900,16100,16600,14200,15200,15900
250631,104 Street North of  80 Avenue,53.5165351,-113.4975793,53.5165351,-113.4975793,-,-,-,-,20200,19200,19200,18200,18800,16000,17200,17900
250637,104 Street North of  81 Avenue,53.517626,-113.4976422,53.517626,-113.4976422,16000,15700,16000,23000,21100,22200,22200,21100,21800,18600,20000,20800
250655,104 Street North of  83 Avenue,53.5195669,-113.4975613,53.5195669,-113.4975613,-,-,-,-,-,-,15000,14300,14800,12600,13500,14100
250661,104 Street North of  84 Avenue,53.5204171,-113.4975703,53.5204171,-113.4975703,-,-,-,-,-,-,15600,14800,15300,13100,14100,14700
250667,104 Street North of  85 Avenue,53.5213741,-113.4976422,53.5213741,-113.4976422,13500,13300,14600,15100,15100,14300,14300,13600,14100,12000,12900,13500
112039,104 Street North of  96 Avenue,53.5334238,-113.499243,53.5334238,-113.499243,7200,7100,7200,7300,6700,6400,7900,7500,7800,6700,7200,7500
112043,104 Street North of  97 Avenue,53.5348403,-113.499225,53.5348403,-113.499225,-,-,-,-,-,-,400,400,500,500,600,700
112047,104 Street North of  99 Street,53.5380525,-113.499243,53.5380525,-113.499243,-,-,-,-,-,-,1400,1300,1400,1200,1300,1400
112049,104 Street North of 100 Avenue,53.5403025,-113.499234,53.5403025,-113.499234,-,-,-,-,3400,3200,3200,3800,4000,3400,3700,3900
112053,104 Street North of 102 Avenue,53.543867,-113.499279,53.543867,-113.499279,-,-,-,-,-,-,3400,3200,3300,2900,3200,3400
112055,104 Street North of 103 Avenue,53.5453899,-113.499216,53.5453899,-113.499216,-,-,-,-,-,-,3400,3700,3900,3400,3700,3900
112056,104 Street North of 104 Avenue,53.5469128,-113.499225,53.546913,-113.499225,-,-,-,-,-,-,1900,1500,1600,1400,1500,1600
112065,104 Street North of 113 Avenue,53.5634903,-113.499234,53.5634903,-113.499234,-,-,-,-,-,-,200,200,300,300,400,500
250547,104 Street North of 65 Avenue,53.5021218,-113.4976872,53.5021218,-113.4976872,-,-,20800,24000,24000,22800,22800,21700,22400,19100,20500,21400
250505,104 Street North of Calgary Trail,53.4945039,-113.4976422,53.4945039,-113.4976422,-,-,-,33400,33400,31700,30200,28700,29600,25200,27000,28100
112051,104 Street North of Jasper Avenue,53.5418576,-113.499225,53.5418576,-113.499225,-,-,-,-,3300,3100,3400,4500,4700,4000,4300,4500
112064,104 Street North of Kingsway,53.5570695,-113.4990452,53.5570695,-113.4990452,-,-,-,2100,2200,2000,2000,1900,2000,1700,1900,2000
250601,104 Street North of University Avenue,53.5120485,-113.4977232,53.5120485,-113.4977232,-,-,-,-,21300,20200,22800,21700,22400,19100,20500,21400
101422,105 Avenue N west of 108 Street,53.548254,-113.5076966,53.548254,-113.5076966,-,-,-,4000,4000,3800,4700,4400,4600,4000,4300,4500
101364,105 Avenue West of  36 Street,53.5587736,-113.3982402,53.5587736,-113.3982402,100,100,100,200,200,200,200,200,300,300,400,500
101394,105 Avenue West of 101 Street,53.5477838,-113.4945575,53.5477838,-113.4945575,-,-,-,2800,1800,1700,1800,1400,1500,1300,1400,1500
101410,105 Avenue West of 105 Street,53.5477571,-113.5020399,53.5477571,-113.5020399,-,-,-,2800,1600,1500,2200,2100,2200,1900,2100,2200
101414,105 Avenue West of 106 Street,53.5477571,-113.5034878,53.5477571,-113.5034878,-,-,3800,3900,3900,3700,3600,3400,3600,3100,3400,3600
101430,105 Avenue West of 109 Street,53.548254,-113.5095672,53.548254,-113.5095672,4000,3400,3500,3300,3300,4500,3100,2900,3000,2600,2800,3000
101454,105 Avenue West of 115 Street,53.5482754,-113.520521,53.5482754,-113.520521,3800,3700,3800,4100,4000,3800,4800,4600,4800,4100,4400,4600
101458,105 Avenue West of 116 Street,53.5482754,-113.5222836,53.5482754,-113.5222836,-,-,-,2100,2100,2000,2400,2300,2400,2100,2300,2400
101472,105 Avenue West of 122 Street,53.5477999,-113.5333992,53.5477999,-113.5333992,-,-,-,900,900,900,900,900,1000,900,1000,1100
310328,105 Avenue West of 139 Street,53.5477785,-113.5622854,53.5477785,-113.5622854,-,-,-,-,-,-,900,900,1000,900,1000,1100
310336,105 Avenue West of 140 Street,53.5477785,-113.5644348,53.5477785,-113.5644348,-,-,800,800,800,800,800,800,900,800,900,1000
310360,105 Avenue West of 151 Street,53.5479708,-113.5823943,53.5479708,-113.5823943,-,-,-,-,-,-,-,600,700,600,700,800
250817,105 Street North of  14 Avenue,53.4449281,-113.4983976,53.4449281,-113.4983976,-,-,1800,1800,1800,1700,1700,1600,1700,1500,1700,1800
250841,105 Street North of  19 Avenue,53.449245,-113.5004121,53.449245,-113.5004121,3600,3500,3600,3700,3700,3500,3500,3300,3400,2900,3200,3400
